ema_period,pullback_bars,signal_close_frac,chop_threshold,regime_filter,days,trades,net_r,winrate,profit_factor,max_dd_r_trade,avg_r,trade_sharpe,daily_sharpe_r,daily_sortino_r,max_dd_r_daily,max_dd_pct_initial,best_day_r,worst_day_r,var_95_r,cvar_95_r,skew_r,kurtosis_r,pct_pos_days,max_underwater_days,calendar_days,days_with_trades,trades_per_active_day,trades_per_calendar_day
10,2,0.2,1.5,True,60,126,19.96000000000002,0.3968253968253968,1.2557662737057915,-8.56,0.15841269841269842,0.10777826893514462,2.132305315602809,6.5434449282516995,-7.5200000000000005,-0.0752,3.92,-2.08,-2.08,-2.0799999999999996,0.5102577666850193,0.5641522088750404,44.086021505376344,21,93,64,1.96875,1.3548387096774193
10,2,0.2,2.5,True,60,123,20.08000000000002,0.3983739837398374,1.2643496577145865,-7.5200000000000005,0.16325203252032516,0.11099500405141151,1.9674533584263063,8.072783698761159,-6.48,-0.0648,3.92,-3.12,-2.08,-2.129523809523809,0.5094363012961562,0.16685826054046604,41.935483870967744,23,93,63,1.9523809523809523,1.3225806451612903
10,2,0.2,3.5,True,60,106,6.759999999999997,0.36792452830188677,1.0970149253731334,-10.680000000000001,0.06377358490566035,0.043873012237491446,0.70951575204818,1.6858208751028132,-8.600000000000001,-0.08600000000000002,3.92,-3.12,-2.08,-2.134736842105263,0.6258084815821956,0.4964322923084814,31.182795698924732,54,93,57,1.8596491228070176,1.1397849462365592
10,2,0.3,1.5,True,60,129,33.84000000000007,0.43410852713178294,1.4457323498419392,-11.439999999999992,0.2623255813953488,0.17573723366707278,3.001276020504596,27.20946218785633,-10.4,-0.10400000000000001,3.92,-2.08,-2.08,-2.0799999999999996,0.5285672788710558,-0.37230496807636015,44.086021505376344,14,93,65,1.9846153846153847,1.3870967741935485
10,2,0.3,2.5,True,60,126,27.960000000000047,0.42063492063492064,1.3682824025289777,-11.919999999999986,0.22190476190476188,0.14924035775136862,2.4554849757655406,16.887182982708847,-11.920000000000002,-0.11920000000000001,3.92,-2.08,-2.08,-2.08,0.5858324080933349,-0.3728695577309349,40.86021505376344,25,93,64,1.96875,1.3548387096774193
10,2,0.3,3.5,True,60,108,28.680000000000067,0.4351851851851852,1.4520807061790664,-7.279999999999994,0.2655555555555556,0.1777149881365053,2.889839552269312,7.893912673852936,-6.24,-0.0624,3.92,-3.12,-2.08,-2.1411764705882352,0.4745355685169607,0.14282523221824928,38.70967741935484,22,93,58,1.8620689655172413,1.1612903225806452
10,2,0.45,1.5,True,60,129,21.840000000000074,0.40310077519379844,1.272727272727272,-19.19999999999998,0.16930232558139532,0.11460260104515213,1.980767347246682,18.277773472765997,-18.399999999999995,-0.18399999999999994,3.92,-2.08,-2.08,-2.08,0.577238037101444,-0.2117956347333121,41.935483870967744,47,93,65,1.9846153846153847,1.3870967741935485
10,2,0.45,2.5,True,60,126,27.96000000000009,0.42063492063492064,1.3682824025289777,-17.119999999999976,0.2219047619047619,0.14924035775136865,2.394267416968155,17.195099907184552,-16.319999999999986,-0.16319999999999987,3.92,-2.08,-2.08,-2.08,0.590007058279326,-0.48536797834427015,39.784946236559136,42,93,64,1.96875,1.3548387096774193
10,2,0.45,3.5,True,60,109,24.64000000000008,0.42201834862385323,1.3760683760683754,-9.159999999999975,0.22605504587155964,0.15186891386675969,2.442431169810303,7.8470540468275,-9.159999999999982,-0.09159999999999982,3.92,-2.08,-2.08,-2.0799999999999996,0.5836386184766169,0.09807532985132505,37.634408602150536,38,93,59,1.847457627118644,1.1720430107526882
10,3,0.2,1.5,True,60,125,24.00000000000005,0.408,1.3159557661927328,-7.999999999999998,0.19200000000000006,0.13005035546353683,2.4286159782769277,7.643234461195615,-8.000000000000002,-0.08000000000000002,3.92,-2.08,-2.08,-2.0799999999999996,0.5514410754629749,0.20283135776516037,41.935483870967744,39,93,63,1.9841269841269842,1.3440860215053763
